Quantify Compound Summary Report 

Printed Fri Dec 04 12:11:50 2020

Compound 1:  tryptophan

	#	Name	Sample Text	Type	%Dev	Primary Flags	Conc.	Std. Conc	RT	Area	IS Area	Response
57	57	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Double Blank_60	Double Blank	Blank		bb			3.71	4.250		
69	69	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Double Blank_72	Double Blank	Blank		bb			3.61	2.197		
81	81	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Double Blank_84	Double Blank	Blank		bd			3.71	6.305		
93	93	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Double Blank_96	Double Blank	Blank		bb			3.68	10.243		
105	105	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Double Blank_108	Double Blank	Blank							13.457	
106	106	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Double Blank_109	Double Blank	Blank		db			3.70	1.732		
10	10	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00251_CV0013_13	COV00251_CV0013	Analyte		MM	7669.320		3.70	368750.438	35794.121	103.020
11	11	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00252_CV0024_14	COV00252_CV0024	Analyte		MM	8647.969		3.70	409764.594	35249.930	116.246
12	12	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00253_CV0026_15	COV00253_CV0026	Analyte		MM	6912.577		3.70	301326.844	32473.002	92.793
13	13	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00254_CV0001_16	COV00254_CV0001	Analyte		MM	6478.995		3.70	294263.781	33849.289	86.934
14	14	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00255_CV0023_17	COV00255_CV0023	Analyte		MM	6773.723		3.70	345596.563	38012.508	90.917
15	15	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00256_CV0025_18	COV00256_CV0025	Analyte		MM	7364.272		3.70	299565.188	30290.521	98.897
16	16	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00257_CV0010_19	COV00257_CV0010	Analyte		MM	12115.987		3.70	536457.375	32888.688	163.113
17	17	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00258_CV0034_20	COV00258_CV0034	Analyte		MM	8662.282		3.71	392581.938	33715.695	116.439
18	18	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00259_CV0038_21	COV00259_CV0038	Analyte		MM	12011.704		3.70	620975.375	38402.043	161.704
19	19	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00260_CV0040_22	COV00260_CV0040	Analyte		MM	14104.074		3.71	660282.063	34755.258	189.980
20	20	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_PLASMA LTR_23	PLASMA LTR	Analyte		MM	11799.389		3.71	605829.625	38142.203	158.834
22	22	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00263_CV0045_25	COV00263_CV0045	Analyte		MM	11224.871		3.71	530806.563	35136.391	151.070
23	23	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00264_CV0003_26	COV00264_CV0003	Analyte		MM	6678.142		3.71	311047.344	34705.488	89.625
24	24	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00265_CV0037_27	COV00265_CV0037	Analyte		MM	5914.749		3.72	236463.297	29815.754	79.308
25	25	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00266_CV0039_28	COV00266_CV0039	Analyte		MM	8276.338		3.70	385321.594	34643.996	111.223
26	26	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00267_CV0044_29	COV00267_CV0044	Analyte		MM	10261.011		3.71	423195.125	30656.430	138.044
27	27	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00268_CV0047_30	COV00268_CV0047	Analyte		MM	8888.645		3.71	400928.781	33551.074	119.498
28	28	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00269_CV0048_31	COV00269_CV0048	Analyte		MM	6516.623		3.72	269276.156	30794.820	87.442
29	29	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00270_CV0006_32	COV00270_CV0006	Analyte		MM	9105.057		3.71	396944.969	32424.135	122.423
30	30	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00271_CV0011_33	COV00271_CV0011	Analyte		MM	3479.532		3.72	158986.313	34265.672	46.398
31	31	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00272_CV0046_34	COV00272_CV0046	Analyte		MM	11206.430		3.71	568523.625	37695.234	150.821
34	34	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00275_CV0036_37	COV00275_CV0036	Analyte		MM	5088.257		3.72	227353.922	33366.301	68.139
35	35	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00276_CV0050_38	COV00276_CV0050	Analyte		MM	5608.081		3.71	262505.219	34924.422	75.164
36	36	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00277_CV0001_39	COV00277_CV0001	Analyte		MM	10488.860		3.71	526332.125	37295.801	141.124
37	37	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00278_CV0056_40	COV00278_CV0056	Analyte		MM	5660.628		3.73	247658.859	32640.838	75.874
38	38	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00279_CV0058_41	COV00279_CV0058	Analyte		MM	12011.996		3.72	559381.313	34592.129	161.708
39	39	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00280_CV0059_42	COV00280_CV0059	Analyte		MM	12024.397		3.71	602874.438	37243.145	161.875
40	40	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00281_CV0074_43	COV00281_CV0074	Analyte		MM	8750.697		3.72	412788.156	35090.953	117.634
41	41	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00282_CV0051_44	COV00282_CV0051	Analyte		MM	7148.241		3.72	356400.469	37133.613	95.978
42	42	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00283_CV0060_45	COV00283_CV0060	Analyte		MM	5146.544		3.72	246423.156	35751.590	68.926
43	43	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00284_CV0049_46	COV00284_CV0049	Analyte		MM	9653.238		3.71	483792.344	37263.262	129.831
46	46	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00287_CV0073_49	COV00287_CV0073	Analyte		MM	11588.833		3.71	589100.250	37765.508	155.989
47	47	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00288_CV0064_50	COV00288_CV0064	Analyte		MM	13041.217		3.71	635481.250	36185.676	175.617
48	48	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00289_CV0069_51	COV00289_CV0069	Analyte		MM	16716.959		3.71	853106.750	37866.785	225.292
49	49	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00290_CV0071_52	COV00290_CV0071	Analyte		MM	9224.588		3.71	473556.656	38178.336	124.038
50	50	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00291_CV0072_53	COV00291_CV0072	Analyte		MM	15432.126		3.71	738039.188	35494.930	207.928
51	51	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00292_CV0076_54	COV00292_CV0076	Analyte		MM	15243.558		3.71	692227.563	33704.770	205.380
52	52	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00293_CV0078_55	COV00293_CV0078	Analyte		MM	7432.007		3.71	356850.875	35752.043	99.813
53	53	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00294_CV0082_56	COV00294_CV0082	Analyte		MM	6349.054		3.72	303293.656	35607.262	85.177
54	54	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00295_CV0084_57	COV00295_CV0084	Analyte		MM	14882.824		3.71	768665.188	38336.523	200.505
55	55	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00296_CV0086_58	COV00296_CV0086	Analyte		MM	4439.764		3.73	199781.969	33647.535	59.375
58	58	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00299_CV0085_61	COV00299_CV0085	Analyte		MM	3074.114		3.73	150146.625	36693.414	40.919
59	59	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00300_CV0015_62	COV00300_CV0015	Analyte		MM	7063.481		3.71	333183.469	35133.930	94.832
60	60	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00301_CV0027_63	COV00301_CV0027	Analyte		MM	12395.621		3.72	610533.000	36582.504	166.892
61	61	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00302_CV0032_64	COV00302_CV0032	Analyte		MM	4025.258		3.73	214221.016	39837.883	53.773
62	62	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00303_CV0047_65	COV00303_CV0047	Analyte		MM	4741.220		3.72	227156.094	35801.449	63.449
63	63	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00304_CV0052_66	COV00304_CV0052	Analyte		MM	9743.134		3.72	433619.531	33089.160	131.046
64	64	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00305_CV0057_67	COV00305_CV0057	Analyte		MM	3576.183		3.73	172686.797	36199.422	47.704
65	65	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00306_CV0065_68	COV00306_CV0065	Analyte		MM	9921.333		3.72	530835.500	39776.660	133.454
66	66	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00307_CV0077_69	COV00307_CV0077	Analyte		MM	3748.290		3.72	198438.875	39663.828	50.030
67	67	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00308_CV0080_70	COV00308_CV0080	Analyte		MM	6765.813		3.72	351390.750	38695.313	90.810
70	70	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00311_CV0089_73	COV00311_CV0089	Analyte		MM	11413.903		3.72	631106.625	41081.004	153.625
71	71	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00312_CV0093_74	COV00312_CV0093	Analyte		MM	6988.081		3.72	343300.938	36594.012	93.813
72	72	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00313_CV0094_75	COV00313_CV0094	Analyte		MM	3639.747		3.73	162575.344	33476.984	48.563
73	73	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00314_CV0033_76	COV00314_CV0033	Analyte		MM	6439.668		3.72	327839.188	37943.453	86.402
74	74	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00315_CV0092_77	COV00315_CV0092	Analyte		MM	12555.991		3.72	631796.375	37371.277	169.059
75	75	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00316_CV0102_78	COV00316_CV0102	Analyte		MM	11922.748		3.72	704431.000	43889.355	160.502
76	76	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00317_CV0105_79	COV00317_CV0105	Analyte		MM	14436.741		3.71	792692.563	40760.387	194.476
77	77	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00318_CV0095_80	COV00318_CV0095	Analyte		MM	7667.166		3.72	365974.156	35534.672	102.991
78	78	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00319_CV0003_81	COV00319_CV0003	Analyte		MM	6236.540		3.72	317336.250	37933.047	83.657
79	79	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00320_CV0034_82	COV00320_CV0034	Analyte		MM	6589.329		3.72	355688.156	40225.027	88.425
82	82	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00323_CV0099_85	COV00323_CV0099	Analyte		MM	4551.638		3.72	205196.797	33701.355	60.887
83	83	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00324_CV0039_86	COV00324_CV0039	Analyte		MM	7178.641		3.72	368508.844	38231.543	96.389
84	84	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00325_CV0097_87	COV00325_CV0097	Analyte		MM	10076.866		3.72	485700.000	35830.230	135.556
85	85	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00326_CV0098_88	COV00326_CV0098	Analyte		MM	9763.992		3.72	491502.031	37425.625	131.328
86	86	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00327_CV0050_89	COV00327_CV0050	Analyte		MM	7599.042		3.72	345146.750	33814.684	102.070
87	87	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00328_CV0075_90	COV00328_CV0075	Analyte		MM	10343.888		3.72	537448.875	38619.680	139.165
88	88	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00329_CV0079_91	COV00329_CV0079	Analyte		MM	8399.659		3.72	422248.344	37403.590	112.890
89	89	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00330_CV0103_92	COV00330_CV0103	Analyte		MM	10231.695		3.72	539412.063	39187.699	137.648
90	90	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00331_CV0104_93	COV00331_CV0104	Analyte		MM	5848.919		3.72	298571.563	38074.102	78.419
91	91	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00332_CV0059_94	COV00332_CV0059	Analyte		MM	13169.514		3.72	640502.563	36115.043	177.351
94	94	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00335_CV0101_97	COV00335_CV0101	Analyte		MM	3812.354		3.72	205190.813	40315.738	50.896
95	95	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00336_CV0056_98	COV00336_CV0056	Analyte		MM	5969.354		3.73	273597.563	34179.988	80.046
96	96	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00337_CV0068_99	COV00337_CV0068	Analyte		MM	9905.431		3.72	504622.094	37873.422	133.239
97	97	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00338_CV0071_100	COV00338_CV0071	Analyte		MM	10910.169		3.72	602982.688	41070.258	146.817
98	98	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00339_CV0088_101	COV00339_CV0088	Analyte		MM	13287.906		3.71	674049.688	37666.801	178.951
99	99	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00340_CV0106_102	COV00340_CV0106	Analyte		MM	20926.502		3.71	1227607.375	43504.371	282.180
100	100	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00341_CV0107_103	COV00341_CV0107	Analyte		MM	9873.838		3.71	569467.500	42877.664	132.812
101	101	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00342_CV0108_104	COV00342_CV0108	Analyte		MM	14887.378		3.71	812109.313	40490.832	200.566
102	102	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00343_CV0109_105	COV00343_CV0109	Analyte		MM	13179.958		3.72	750440.625	42280.305	177.492
103	103	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00344_CV0115_106	COV00344_CV0115	Analyte		MM	6401.128		3.72	297669.688	34660.633	85.881
104	104	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_PLASMA LTR_107	PLASMA LTR	Analyte		MM	12988.805		3.72	704810.125	40295.934	174.908

Compound 2:  3-hydroxykynurenine

	#	Name	Sample Text	Type	%Dev	Primary Flags	Conc.	Std. Conc	RT	Area	IS Area	Response
1	1	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 8_4	Cal 8	Standard	-7.1	bd	1.859	2.000	1.15	184.699	122520.156	0.015
2	2	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 7_5	Cal 7	Standard	8.9	bb	4.357	4.000	1.14	802.502	178175.891	0.045
3	3	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 6_6	Cal 6	Standard	-15.7	MM	6.743	8.000	1.13	1069.524	145196.188	0.074
4	4	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 5_7	Cal 5	Standard	-1.1	bb	19.777	20.000	1.14	5115.356	222412.328	0.230
5	5	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 4_8	Cal 4	Standard	9.0	bb	32.686	30.000	1.14	4016.024	104357.609	0.385
6	6	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 3_9	Cal 3	Standard	-2.4	bb	48.789	50.000	1.14	7316.340	126584.297	0.578
7	7	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 2_10	Cal 2	Standard	5.8	bb	105.840	100.000	1.14	14444.894	114433.836	1.262
8	8	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 1_11	Cal 1	Standard	-0.2	bb	199.619	200.000	1.14	21021.666	88062.547	2.387
107	107	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 8_110	Cal 8	Standard	13.0	bb	2.259	2.000	1.14	258.505	130042.414	0.020
108	108	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 7_111	Cal 7	Standard	-13.1	MM	3.476	4.000	1.15	630.886	183040.047	0.034
109	109	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 6_112	Cal 6	Standard	-2.2	bb	7.827	8.000	1.15	1450.649	167383.172	0.087
110	110	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 5_113	Cal 5	Standard	-0.4	bb	19.914	20.000	1.14	5875.445	253650.391	0.232
111	111	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 4_114	Cal 4	Standard	-0.8	bb	29.751	30.000	1.15	4795.453	137155.938	0.350
112	112	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 3_115	Cal 3	Standard	6.2	bb	53.096	50.000	1.15	8638.147	137189.469	0.630
113	113	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 2_116	Cal 2	Standard	-0.4	bb	99.628	100.000	1.14	16977.971	142939.047	1.188
114	114	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Cal 1_117	Cal 1	Standard	0.5	bb	201.036	200.000	1.15	27847.146	115830.352	2.404
32	32	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_QC 5_35	QC 5	QC	10.0	bb	8.803	8.000	1.15	1741.190	177006.891	0.098
44	44	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_QC 2_47	QC 2	QC	5.4	bb	168.686	160.000	1.14	34291.098	170085.563	2.016
56	56	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_QC 6_59	QC 6	QC	-10.4	MM	3.585	4.000	1.15	1094.047	305732.063	0.036
68	68	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_QC 4_71	QC 4	QC	2.6	bb	20.513	20.000	1.15	3652.701	152944.563	0.239
80	80	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_QC 1_83	QC 1	QC	3656.7	bb	7513.492	200.000	1.15	26721.658	2965.309	90.114
92	92	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_QC 3_95	QC 3	QC	5.6	bb	84.440	80.000	1.15	11220.449	111578.773	1.006
9	9	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Double Blank_12	Double Blank	Blank							32.646	
21	21	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Double Blank_24	Double Blank	Blank		bb			1.09	14.517		
33	33	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Double Blank_36	Double Blank	Blank		bb	2034.017		1.13	19.973	8.189	24.390
45	45	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Double Blank_48	Double Blank	Blank		bb	372.481		1.10	12.345	27.676	4.461
57	57	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Double Blank_60	Double Blank	Blank								
69	69	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Double Blank_72	Double Blank	Blank		bd			1.20	28.692		
81	81	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Double Blank_84	Double Blank	Blank		bb	5813.812		1.15	29.397	4.216	69.727
93	93	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Double Blank_96	Double Blank	Blank		bb	2110.738		1.08	15.662	6.188	25.310
105	105	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Double Blank_108	Double Blank	Blank		bb	8732.351		1.18	28.938	2.763	104.734
106	106	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_Double Blank_109	Double Blank	Blank							22.874	
10	10	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00251_CV0013_13	COV00251_CV0013	Analyte		bb	12.646		1.14	8337.771	577170.188	0.144
11	11	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00252_CV0024_14	COV00252_CV0024	Analyte		bb	5.094		1.14	3254.261	603928.375	0.054
12	12	covid_cambridge_MS_TRYPTOPHAN_PAT01_PLASMA1B_250820_COV00253_CV0026_15	COV00253_CV0026	Analyte		bb	8.615		1.14	5038.829	524239.063	0.096
